"","RealName","FileName","SimplifiedName","Ctrl(0)-Trmt(1)","Males(-1)-Females(1)","Dvptm point"
"1","1-17PL30_200","17PL30200best.cov","PL30200",1,1,"200"
"2","2-17PL53_200","17PL53200best.cov","PL53200",1,-1,"200"
"3","3-17PL54_200","17PL54200best.cov","PL54200",1,-1,"200"
"4","4-17LB1_200","17LB1200best.cov","LB1200",0,-1,"200"
"5","5-17LB2_200","17LB2200best.cov","LB2200",0,1,"200"
"6","6-17LB3_200","17LB3200best.cov","LB3200",0,-1,"200"
"7","10-17SB1_200","17SB1200best.cov","SB1200",0,-1,"200"
"8","11'-17SB3_200","17SB3200best.cov","SB3200",0,1,"200"
"9","12-17SB35_200","17SB35200best.cov","SB35200",0,1,"200"
"10","13-17PL30_150","17PL30150best.cov","PL30150",1,1,"150"
"11","14-17PL53_150","17PL53150best.cov","PL53150",1,-1,"150"
"12","16-17LB1_150","17LB1150best.cov","LB1150",0,-1,"150"
"13","17-17LB2_150","17LB2150best.cov","LB2150",0,-1,"150"
"14","18-17SB35_150","17SB35150best.cov","SB35150",0,1,"150"
"15","21-17PL54_150","17PL54150best.cov","PL54150",1,-1,"150"
"16","22-17SB1_150","17SB1150best.cov","SB1150",0,1,"150"
"17","23-17SB3_150","17SB3150best.cov","SB3150",0,-1,"150"
"18","24-17LB3_150","17LB3150best.cov","LB3150",0,1,"150"
"19","37-17PL23_50","17PL2350best.cov","PL2350",1,1,"50"
"20","38-17PL25_50","17PL2550best.cov","PL2550",1,1,"50"
"21","40-17LB1_50","17LB150best.cov","LB150",0,0,"50"
"22","41-17LB2_50","17LB250best.cov","LB250",0,0,"50"
"23","42-17SB35_50","17SB3550best.cov","SB3550",0,0,"50"
"24","45-17PL11_50","17PL1150best.cov","PL1150",1,1,"50"
"25","46-17SB1_50","17SB150best.cov","SB150",0,0,"50"
"26","47-17SB3_50","17SB350best.cov","SB350",0,0,"50"
"27","48-17LB3_50","17LB350best.cov","LB350",0,0,"50"
