"Residue","Morph_pvalue","Timepoint_pvalue","Sex_pvalue","MorphXTimepoint_pvalue","MorphXSex_pvalue","TimepointXSex_pvalue","chrom","start","temp","NW","NCBI","Morph_pvalue_corrected","Timepoint_pvalue_corrected","Sex_pvalue_corrected","MorphXTimepoint_pvalue_corrected","MorphXSex_pvalue_corrected"
"chr036839.1_10883282",0.000253695203476131,0.246276578231493,0.0310292387002174,3.26137288042586e-06,0.451246432340395,0.668143069935047,"chr036839.1",10883282,36839.1,"NC_","NC_036839.1",1,1,1,0.0470518265459039,1
"chr036841.1_3616310",0.0890553789769426,5.14838991949555e-19,0.546639379031357,2.40080004340982e-08,0.665680814796922,0.363669706345728,"chr036841.1",3616310,36841.1,"NC_","NC_036841.1",1,7.42758213685624e-15,1,0.000346363422262735,1
"chr036842.1_634162",9.639476981684e-07,0.0621333665959041,0.0869548617872875,2.03304611670915e-06,0.644827796797629,0.0322013158287987,"chr036842.1",634162,36842.1,"NC_","NC_036842.1",0.0139068734414755,1,1,0.0293307563257629,1
"chr036842.1_1043513",0.000122242579471789,7.52357650756965e-05,0.000404395391963421,4.24826810671651e-07,3.73889616812924e-12,0.000297956166155574,"chr036842.1",1043513,36842.1,"NC_","NC_036842.1",1,1,1,0.00612897639755991,5.39410550176005e-08
"chr036842.1_4406797",0.750039270405914,0.332808700636285,0.43149625732579,9.827261458188e-07,0.00892569147595575,0.000411768280881742,"chr036842.1",4406797,36842.1,"NC_","NC_036842.1",1,1,1,0.0141777901057278,1
"chr036842.1_19256953",0.0119373758687768,0.23911971024531,0.250303328914841,1.14662310238297e-06,0.0684791458100979,0.378609069122394,"chr036842.1",19256953,36842.1,"NC_","NC_036842.1",1,1,1,0.0165423314980791,1
"chr036842.1_53499118",1.55496704374942e-07,5.48999693507624e-55,0.808242771684042,2.35304703343521e-13,0.0771094302745468,0.55005932411028,"chr036842.1",53499118,36842.1,"NC_","NC_036842.1",0.00224335095401729,7.92041857823449e-51,1,3.39474095513698e-09,1
"chr036842.1_53499131",6.78098440862989e-08,3.1529696594492e-53,0.906838353791499,2.8109658430682e-12,0.18289537553614,0.914439542022944,"chr036842.1",53499131,36842.1,"NC_","NC_036842.1",0.000978292620633034,4.54878932768736e-49,1,4.05538042179449e-08,1
"chr036847.1_19048253",3.39874518390065e-07,8.5527872389551e-20,0.357610121752384,2.69169390985013e-06,0.393416771019251,0.144231705876312,"chr036847.1",19048253,36847.1,"NC_","NC_036847.1",0.00490336967681347,1.23391061496405e-15,1,0.0388330680374078,1
"chr036848.1_24222885",8.69360657416478e-11,3.80082630051128e-11,0.0644725836620524,2.5826493926989e-09,0.815004032675904,0.72277447765685,"chr036848.1",24222885,36848.1,"NC_","NC_036848.1",1.25422662045475e-06,5.48345210374763e-07,1,3.7259882788467e-05,1
"chr036849.1_1925202",5.51027574587387e-08,7.16133635867259e-09,0.00314920637687099,1.15894154263201e-07,0.136960407685823,0.713659124916137,"chr036849.1",1925202,36849.1,"NC_","NC_036849.1",0.000794967481857223,0.000103316599646569,1,0.0016720049635552,1
"chr036850.1_1903272",0.332929105827536,0.00356721444266582,0.209092482511449,1.50469254759032e-06,0.000306366857150784,0.317726876944284,"chr036850.1",1903272,36850.1,"NC_","NC_036850.1",1,1,1,0.0217081993840855,1
"chr036851.1_44198765",4.61853376641402e-15,1.20615867387e-06,0.0109337265951877,5.18343220915461e-08,1.58308832434307e-11,0.0939509794997957,"chr036851.1",44198765,36851.1,"NC_","NC_036851.1",6.66315866480551e-11,0.0174012511879224,1,0.000747813764814735,2.28392152552975e-07
"chr036857.1_39239528",7.08627829022098e-08,5.5419692344482e-06,0.878009127633361,5.68488733984326e-07,0.233820658816513,0.447718013278846,"chr036857.1",39239528,36857.1,"NC_","NC_036857.1",0.00102233736893018,0.0799539901453841,1,0.00820158696519188,1
"chr036857.1_39239534",1.93636817186996e-09,7.14933785075931e-05,0.289317129106319,4.66056967474499e-10,0.437998860404387,0.688232584584535,"chr036857.1",39239534,36857.1,"NC_","NC_036857.1",2.79359836155679e-05,1,1,6.7238038697546e-06,1
"chr036858.1_6605957",0.0027415867377315,0.0567085434520723,0.0302273456492079,3.58229804325756e-14,0.00702295919688209,0.766590480512133,"chr036858.1",6605957,36858.1,"NC_","NC_036858.1",1,1,1,5.16818138700768e-10,1
"chr036858.1_25995735",0.15154972931604,2.55790595795106e-14,0.0853850314810865,1.89059282552836e-07,0.995454957912536,0.136861563792247,"chr036858.1",25995735,36858.1,"NC_","NC_036858.1",1,3.69029092553599e-10,1,0.00272755826938977,1
"chr036858.1_39718351",3.11217754166508e-07,7.62215507836616e-30,0.0412724770121828,5.56424757195296e-11,0.0795655439666389,0.0350844333824107,"chr036858.1",39718351,36858.1,"NC_","NC_036858.1",0.00448993853936021,1.09964831315589e-25,1,8.02753997205653e-07,1
"chr036862.1_18406246",0.272853106510174,0.0718463695268646,0.268925760730798,5.534040857367e-07,0.970344964434846,0.98492517910623,"chr036862.1",18406246,36862.1,"NC_","NC_036862.1",1,1,1,0.00798396074492337,1
"chr036866.1_35656890",0.000228124708446425,1.14995158447492e-06,0.58710575164518,2.6784498708723e-08,0.0640199740346942,0.24714715572609,"chr036866.1",35656890,36866.1,"NC_","NC_036866.1",1,0.0165903515092197,1,0.000386419962870746,1
"chr036867.1_3597100",0.0827333697009016,0.26595938113732,0.831796070601556,1.44877081704193e-08,0.029008094352847,0.031319150727441,"chr036867.1",3597100,36867.1,"NC_","NC_036867.1",1,1,1,0.000209014165774639,1
"chr036867.1_9316811",3.82210890873533e-07,3.40841225009667e-10,0.446177174611345,2.09054149655383e-06,0.044172825139533,0.0957281569033123,"chr036867.1",9316811,36867.1,"NC_","NC_036867.1",0.00551415652263245,4.91731635321447e-06,1,0.0301602421707822,1
"chr036872.1_15765986",0.698956565647824,0.226412478944903,0.371735836945251,3.27462410962827e-07,0.0698771649798015,0.0599991835713914,"chr036872.1",15765986,36872.1,"NC_","NC_036872.1",1,1,1,0.00472430020296071,1
"chr036872.1_17170421",0.925655716286089,0.0922505169296917,0.698065401789047,7.44895214607478e-07,0.581862441295557,0.250871627486087,"chr036872.1",17170421,36872.1,"NC_","NC_036872.1",1,1,1,0.0107466032611421,1
"chr036872.1_32455725",2.84852588124894e-09,0.00137559301591938,0.875351935287707,1.56200804542009e-10,0.0576853463510228,0.0613769822364256,"chr036872.1",32455725,36872.1,"NC_","NC_036872.1",4.10956828887784e-05,1,1,2.25350900712756e-06,1
"chr036875.1_2908914",0.339155242165807,2.00511673587845e-05,0.0870983510040194,1.32212448424645e-07,0.000206909508101909,0.0144268192719806,"chr036875.1",2908914,36875.1,"NC_","NC_036875.1",1,0.289278191485185,1,0.00190742899342235,1
