"Name","NCBI","Length","CumLen","LG","LGlength"
"LG1","NC_036838.1",58017395,0,"LG1",58017395
"LG2","NC_036839.1",43538721,58017395,"LG2",43538721
"LG3","NC_036840.1",36001405,101556116,"LG3",36001405
"LG4p","NC_036841.1",28292882,137557521,"LG4p",28292882
"LG4q.1:29","NC_036842.1",90519428,165850403,"LG4q.1:29",90519428
"LG4q.2","NC_036843.1",29595583,256369831,"LG4q.2",29595583
"LG5","NC_036844.1",37080635,285965414,"LG5",37080635
"LG6.1","NC_036845.1",30249148,323046049,"LG6.1",30249148
"LG6.2","NC_036846.1",26025374,353295197,"LG6.2",26025374
"LG7","NC_036847.1",34303021,379320571,"LG7",34303021
"LG8","NC_036848.1",54842065,413623592,"LG8",54842065
"LG9","NC_036849.1",32654316,468465657,"LG9",32654316
"LG10","NC_036850.1",22457292,501119973,"LG10",22457292
"LG11","NC_036851.1",51124027,523577265,"LG11",51124027
"LG12","NC_036852.1",13980584,574701292,"LG12",13980584
"LG13","NC_036853.1",50975424,588681876,"LG13",50975424
"LG14","NC_036854.1",54096485,639657300,"LG14",54096485
"LG15","NC_036855.1",67329100,693753785,"LG15",67329100
"LG16","NC_036856.1",42871064,761082885,"LG16",42871064
"LG17","NC_036857.1",41841263,803953949,"LG17",41841263
"LG18","NC_036858.1",72741121,845795212,"LG18",72741121
"LG19","NC_036859.1",38228754,918536333,"LG19",38228754
"LG20","NC_036860.1",79996362,956765087,"LG20",79996362
"LG21","NC_036861.1",6905391,1036761449,"LG21",6905391
"LG22","NC_036862.1",37604395,1043666840,"LG22",37604395
"LG23","NC_036863.1",49632736,1081271235,"LG23",49632736
"LG24","NC_036864.1",11432800,1130903971,"LG24",11432800
"LG25","NC_036865.1",26198113,1142336771,"LG25",26198113
"LG26","NC_036866.1",49931436,1168534884,"LG26",49931436
"LG27","NC_036867.1",38733064,1218466320,"LG27",38733064
"LG28","NC_036868.1",32734159,1257199384,"LG28",32734159
"LG30","NC_036869.1",26193892,1289933543,"LG30",26193892
"LG31","NC_036870.1",32006513,1316127435,"LG31",32006513
