"NCBI","POS","fst_LB","fst_SB","fst_PL","highest","chrom","start","end"
"NC_036838.1",4090000,0,0,0.203761,0.203761,"chr036838.1",4040001,4140000
"NC_036838.1",4100000,0,0,0.231148,0.231148,"chr036838.1",4050001,4150000
"NC_036838.1",4110000,0,0,0.276159,0.276159,"chr036838.1",4060001,4160000
"NC_036838.1",4120000,0,0,0.278893,0.278893,"chr036838.1",4070001,4170000
"NC_036838.1",4130000,0,0,0.229822,0.229822,"chr036838.1",4080001,4180000
"NC_036838.1",4730000,0.258103,0.00280853,0.32056,0.32056,"chr036838.1",4680001,4780000
"NC_036838.1",4740000,0.251829,0.000667216,0.340916,0.340916,"chr036838.1",4690001,4790000
"NC_036838.1",4750000,0.280508,0.00811491,0.373915,0.373915,"chr036838.1",4700001,4800000
"NC_036838.1",4760000,0.283666,0,0.377541,0.377541,"chr036838.1",4710001,4810000
"NC_036838.1",4770000,0.294759,0,0.395634,0.395634,"chr036838.1",4720001,4820000
"NC_036838.1",4780000,0.320323,0,0.434477,0.434477,"chr036838.1",4730001,4830000
"NC_036838.1",4790000,0.167929,0,0.221503,0.221503,"chr036838.1",4740001,4840000
"NC_036838.1",4800000,0.162225,0.00273733,0.213477,0.213477,"chr036838.1",4750001,4850000
"NC_036838.1",4810000,0.156662,0.00345568,0.206598,0.206598,"chr036838.1",4760001,4860000
"NC_036838.1",5240000,0,0.0115081,0.205283,0.205283,"chr036838.1",5190001,5290000
"NC_036838.1",5250000,0,0.010351,0.248364,0.248364,"chr036838.1",5200001,5300000
"NC_036838.1",5260000,0,0.00759391,0.260769,0.260769,"chr036838.1",5210001,5310000
"NC_036838.1",5270000,0,0.00368564,0.265015,0.265015,"chr036838.1",5220001,5320000
"NC_036838.1",5280000,0,0,0.295279,0.295279,"chr036838.1",5230001,5330000
"NC_036838.1",5290000,0,0,0.305217,0.305217,"chr036838.1",5240001,5340000
"NC_036838.1",5300000,0,0.0049291,0.253903,0.253903,"chr036838.1",5250001,5350000
"NC_036838.1",5310000,0,0,0.226033,0.226033,"chr036838.1",5260001,5360000
"NC_036838.1",5320000,0,0,0.219212,0.219212,"chr036838.1",5270001,5370000
"NC_036838.1",6920000,0,0.0182471,0.203084,0.203084,"chr036838.1",6870001,6970000
"NC_036838.1",6960000,0.000574505,0.0659097,0.214426,0.214426,"chr036838.1",6910001,7010000
"NC_036838.1",6970000,0.00586967,0.062041,0.205368,0.205368,"chr036838.1",6920001,7020000
"NC_036838.1",10080000,0.215143,0.212769,0,0.215143,"chr036838.1",10030001,10130000
"NC_036838.1",10090000,0.225766,0.226103,0,0.226103,"chr036838.1",10040001,10140000
"NC_036838.1",10100000,0.260542,0.218847,0.0228828,0.260542,"chr036838.1",10050001,10150000
"NC_036838.1",10110000,0.261709,0.257574,0.0664997,0.261709,"chr036838.1",10060001,10160000
"NC_036838.1",10820000,0.222472,0.110333,0.0641417,0.222472,"chr036838.1",10770001,10870000
"NC_036838.1",10830000,0.221654,0.13515,0.0791426,0.221654,"chr036838.1",10780001,10880000
"NC_036838.1",13530000,0.00794835,0.0648068,0.251964,0.251964,"chr036838.1",13480001,13580000
"NC_036838.1",13540000,0.0156413,0.0716058,0.262487,0.262487,"chr036838.1",13490001,13590000
"NC_036838.1",13550000,0.0682524,0.0866321,0.339136,0.339136,"chr036838.1",13500001,13600000
"NC_036838.1",13560000,0.0412988,0.0557753,0.235705,0.235705,"chr036838.1",13510001,13610000
"NC_036838.1",13570000,0.0320271,0.0586671,0.199965,0.199965,"chr036838.1",13520001,13620000
"NC_036838.1",13580000,0.0446629,0.0647979,0.208908,0.208908,"chr036838.1",13530001,13630000
"NC_036838.1",13590000,0.0617138,0.0745112,0.221078,0.221078,"chr036838.1",13540001,13640000
"NC_036838.1",13600000,0.0645277,0.071228,0.219459,0.219459,"chr036838.1",13550001,13650000
"NC_036838.1",13610000,0.0696721,0.0746565,0.215653,0.215653,"chr036838.1",13560001,13660000
"NC_036838.1",13620000,0.0663549,0.0747843,0.203576,0.203576,"chr036838.1",13570001,13670000
"NC_036838.1",13670000,0.0718763,0.0918674,0.238975,0.238975,"chr036838.1",13620001,13720000
"NC_036838.1",13680000,0.059387,0.0878348,0.220759,0.220759,"chr036838.1",13630001,13730000
"NC_036838.1",13690000,0.0254779,0.076977,0.211179,0.211179,"chr036838.1",13640001,13740000
"NC_036838.1",13700000,0.031235,0.0918534,0.239464,0.239464,"chr036838.1",13650001,13750000
"NC_036838.1",13710000,0.0131498,0.0855748,0.280052,0.280052,"chr036838.1",13660001,13760000
"NC_036838.1",13720000,0.0310515,0.0876942,0.300158,0.300158,"chr036838.1",13670001,13770000
"NC_036838.1",13730000,0.0533688,0.10242,0.369177,0.369177,"chr036838.1",13680001,13780000
"NC_036838.1",13740000,0.0958256,0.108209,0.390802,0.390802,"chr036838.1",13690001,13790000
"NC_036838.1",13750000,0.0679415,0.0920395,0.340567,0.340567,"chr036838.1",13700001,13800000
"NC_036838.1",13760000,0.0803981,0.0759087,0.345322,0.345322,"chr036838.1",13710001,13810000
"NC_036838.1",13770000,0.0755074,0.0635754,0.347001,0.347001,"chr036838.1",13720001,13820000
"NC_036838.1",13780000,0.0899748,0.0732103,0.353609,0.353609,"chr036838.1",13730001,13830000
"NC_036838.1",13790000,0.0788554,0.0649984,0.328453,0.328453,"chr036838.1",13740001,13840000
"NC_036838.1",13800000,0.074885,0.0561957,0.318854,0.318854,"chr036838.1",13750001,13850000
"NC_036838.1",13810000,0.0635462,0.0524782,0.267367,0.267367,"chr036838.1",13760001,13860000
"NC_036838.1",13820000,0.0308951,0.0395013,0.2193,0.2193,"chr036838.1",13770001,13870000
"NC_036838.1",14030000,0.0231706,0.078004,0.214682,0.214682,"chr036838.1",13980001,14080000
"NC_036838.1",14040000,0.0509864,0.0941088,0.245129,0.245129,"chr036838.1",13990001,14090000
"NC_036838.1",14050000,0.044561,0.0885522,0.232979,0.232979,"chr036838.1",14000001,14100000
"NC_036838.1",14060000,0.0337159,0.0990756,0.23613,0.23613,"chr036838.1",14010001,14110000
"NC_036838.1",14070000,0.0304407,0.0903629,0.211407,0.211407,"chr036838.1",14020001,14120000
"NC_036838.1",14090000,0.0394929,0.091097,0.231376,0.231376,"chr036838.1",14040001,14140000
"NC_036838.1",14100000,0.0424921,0.0806364,0.222813,0.222813,"chr036838.1",14050001,14150000
"NC_036838.1",14110000,0.0245681,0.0789674,0.210386,0.210386,"chr036838.1",14060001,14160000
"NC_036838.1",14290000,0.22313,0.151114,0.1527,0.22313,"chr036838.1",14240001,14340000
"NC_036838.1",14300000,0.247083,0.206417,0.19667,0.247083,"chr036838.1",14250001,14350000
"NC_036838.1",14310000,0.16015,0.147924,0.235274,0.235274,"chr036838.1",14260001,14360000
"NC_036838.1",14320000,0.118981,0.119344,0.241846,0.241846,"chr036838.1",14270001,14370000
"NC_036838.1",14330000,0.102519,0.113707,0.228087,0.228087,"chr036838.1",14280001,14380000
"NC_036838.1",14340000,0.103364,0.103307,0.215979,0.215979,"chr036838.1",14290001,14390000
"NC_036838.1",14350000,0.0823138,0.0758153,0.221429,0.221429,"chr036838.1",14300001,14400000
"NC_036838.1",14360000,0.0484436,0.0440089,0.200969,0.200969,"chr036838.1",14310001,14410000
"NC_036838.1",14370000,0.0322622,0.0294126,0.200042,0.200042,"chr036838.1",14320001,14420000
"NC_036838.1",14390000,0,0,0.20004,0.20004,"chr036838.1",14340001,14440000
"NC_036838.1",14400000,0,0,0.199688,0.199688,"chr036838.1",14350001,14450000
"NC_036838.1",14530000,0.0202453,0.0599387,0.27731,0.27731,"chr036838.1",14480001,14580000
"NC_036838.1",14540000,0.00687848,0.0684801,0.312633,0.312633,"chr036838.1",14490001,14590000
"NC_036838.1",14550000,0,0.0413862,0.262039,0.262039,"chr036838.1",14500001,14600000
"NC_036838.1",14590000,0,0.0426249,0.236427,0.236427,"chr036838.1",14540001,14640000
"NC_036838.1",14800000,0.270822,0.0460949,0,0.270822,"chr036838.1",14750001,14850000
"NC_036838.1",14810000,0.263658,0.0592608,0,0.263658,"chr036838.1",14760001,14860000
"NC_036838.1",14820000,0.251679,0.0501109,0,0.251679,"chr036838.1",14770001,14870000
"NC_036838.1",14830000,0.229904,0.0629449,0,0.229904,"chr036838.1",14780001,14880000
"NC_036838.1",14940000,0.210355,0.0265761,0,0.210355,"chr036838.1",14890001,14990000
"NC_036838.1",14950000,0.225515,0.0321626,0,0.225515,"chr036838.1",14900001,1.5e+07
"NC_036838.1",14960000,0.235195,0.0424632,0,0.235195,"chr036838.1",14910001,15010000
"NC_036838.1",14970000,0.236317,0.0403634,0,0.236317,"chr036838.1",14920001,15020000
"NC_036838.1",14980000,0.218523,0.0304988,0,0.218523,"chr036838.1",14930001,15030000
"NC_036838.1",16970000,0.20199,0,0,0.20199,"chr036838.1",16920001,17020000
"NC_036838.1",16980000,0.271008,0,0,0.271008,"chr036838.1",16930001,17030000
"NC_036838.1",16990000,0.374685,0,0,0.374685,"chr036838.1",16940001,17040000
"NC_036838.1",1.7e+07,0.393993,0,0,0.393993,"chr036838.1",16950001,17050000
"NC_036838.1",17010000,0.421151,0,0,0.421151,"chr036838.1",16960001,17060000
"NC_036838.1",17020000,0.432153,0.0302485,0,0.432153,"chr036838.1",16970001,17070000
"NC_036838.1",17030000,0.416654,0.0304808,0,0.416654,"chr036838.1",16980001,17080000
"NC_036838.1",17040000,0.347108,0.048887,0,0.347108,"chr036838.1",16990001,17090000
"NC_036838.1",17050000,0.281688,0.0494322,0.0125012,0.281688,"chr036838.1",17000001,17100000
"NC_036838.1",17060000,0.294871,0.0486448,0.0193583,0.294871,"chr036838.1",17010001,17110000
"NC_036838.1",17070000,0.237053,0.0352959,0,0.237053,"chr036838.1",17020001,17120000
"NC_036838.1",17240000,0.0167733,0.223692,0.00367352,0.223692,"chr036838.1",17190001,17290000
"NC_036838.1",17250000,0.0161483,0.281278,0.00466688,0.281278,"chr036838.1",17200001,17300000
"NC_036838.1",17260000,0.02224,0.343456,0.0203564,0.343456,"chr036838.1",17210001,17310000
"NC_036838.1",17270000,0.0305787,0.312626,0.0224804,0.312626,"chr036838.1",17220001,17320000
"NC_036838.1",17280000,0.0320801,0.273918,0.0342767,0.273918,"chr036838.1",17230001,17330000
"NC_036838.1",17290000,0.0382162,0.276827,0.0351071,0.276827,"chr036838.1",17240001,17340000
"NC_036838.1",17300000,0.029194,0.248335,0.036407,0.248335,"chr036838.1",17250001,17350000
"NC_036838.1",17310000,0.0298115,0.232355,0.0312273,0.232355,"chr036838.1",17260001,17360000
"NC_036838.1",17320000,0.0223131,0.219427,0.0294782,0.219427,"chr036838.1",17270001,17370000
"NC_036838.1",17330000,0.0212684,0.207064,0.0282016,0.207064,"chr036838.1",17280001,17380000
"NC_036838.1",17780000,0.0603117,0.239733,0,0.239733,"chr036838.1",17730001,17830000
"NC_036838.1",17790000,0.0349566,0.212425,0,0.212425,"chr036838.1",17740001,17840000
"NC_036838.1",18560000,0.0700262,0,0.204042,0.204042,"chr036838.1",18510001,18610000
"NC_036838.1",18570000,0.0462542,0.0224465,0.240453,0.240453,"chr036838.1",18520001,18620000
"NC_036838.1",18580000,0.0416335,0.0243212,0.23613,0.23613,"chr036838.1",18530001,18630000
"NC_036838.1",18590000,0.0576688,0.0136233,0.231608,0.231608,"chr036838.1",18540001,18640000
"NC_036838.1",18600000,0.052709,0.0100578,0.22965,0.22965,"chr036838.1",18550001,18650000
"NC_036838.1",18610000,0.0531202,0.00269056,0.227295,0.227295,"chr036838.1",18560001,18660000
"NC_036838.1",18620000,0.0543786,0.00597477,0.23242,0.23242,"chr036838.1",18570001,18670000
"NC_036838.1",18630000,0.0577281,0,0.227702,0.227702,"chr036838.1",18580001,18680000
"NC_036838.1",18640000,0.0461649,0.0103452,0.256092,0.256092,"chr036838.1",18590001,18690000
"NC_036838.1",18650000,0.0460783,0.0346017,0.259884,0.259884,"chr036838.1",18600001,18700000
"NC_036838.1",18660000,0.0251054,0.074536,0.217621,0.217621,"chr036838.1",18610001,18710000
"NC_036838.1",20190000,0.086008,0.199005,0.0585365,0.199005,"chr036838.1",20140001,20240000
"NC_036838.1",20200000,0.0731265,0.206115,0.0483546,0.206115,"chr036838.1",20150001,20250000
"NC_036838.1",20210000,0.0697481,0.204018,0.0543522,0.204018,"chr036838.1",20160001,20260000
"NC_036838.1",20670000,0,0.277454,0,0.277454,"chr036838.1",20620001,20720000
"NC_036838.1",20680000,0,0.310345,0,0.310345,"chr036838.1",20630001,20730000
"NC_036838.1",20690000,0,0.325665,0,0.325665,"chr036838.1",20640001,20740000
"NC_036838.1",20700000,0,0.340292,0,0.340292,"chr036838.1",20650001,20750000
"NC_036838.1",20710000,0,0.417491,0,0.417491,"chr036838.1",20660001,20760000
"NC_036838.1",20720000,0.00295201,0.457746,0,0.457746,"chr036838.1",20670001,20770000
