"X","gene_name","gene_id","chromosome_RefSeq","start","stop","direction","direction_unique","log2FoldChange_LB_vs_PL","log2FoldChange_LB_vs_SB","log2FoldChange_PL_vs_SB","pvalue","padj","chrom"
1,"LOC111967189",111967189,"NC_036838.1",104389,153665,"ALL","LB",-1.09035098336282,-0.581913148729584,0.508437834633231,1.22752388805167e-07,2.52564630023481e-05,"chr036838.1"
2,"LOC111972749",111972749,"NC_036838.1",3675034,3705435,"PL","PL",-0.621432787748121,0.000421640019981454,0.621854427768102,0.000777680750737718,0.023810102245023,"chr036838.1"
3,"LOC111950145",111950145,"NC_036838.1",3851285,3883546,"SB","SB",-0.0214988891773139,-0.328370200321552,-0.306871311144238,0.000439259279262548,0.0165493225612104,"chr036838.1"
4,"LOC111951338",111951338,"NC_036838.1",4606510,4665311,"SB","SB",-0.218730171374287,-0.623234293980231,-0.404504122605944,0.000810909113442321,0.024443437542276,"chr036838.1"
6,"LOC111955633",111955633,"NC_036838.1",5478510,5502883,"PL","PL",-0.742813658952199,0.21594014240929,0.958753801361489,3.96041124355282e-05,0.00272561404647283,"chr036838.1"
7,"LOC111960985",111960985,"NC_036838.1",11030392,11051594,"SB","SB",0.128361973137487,0.839409997814728,0.711048024677241,4.9236925470022e-05,0.00319476848106956,"chr036838.1"
8,"LOC111961886",111961886,"NC_036838.1",17465222,17549871,"LB","LB",-0.455077763519654,-0.359980740405541,0.0950970231141129,1.77108583318712e-06,0.000238406164189358,"chr036838.1"
9,"LOC111962014",111962014,"NC_036838.1",18255208,18286904,"LB","LB",-0.473385495192139,-0.568043852158452,-0.0946583569663125,0.0018703709969942,0.0430814572451507,"chr036838.1"
10,"LOC111962144",111962144,"NC_036838.1",19380662,19432747,"LB","LB",-0.301781562406061,-0.441289271259509,-0.139507708853449,0.000340117732452815,0.0136957740408832,"chr036838.1"
12,"LOC111962764",111962764,"NC_036838.1",22971081,23006265,"ALL","PL",-0.64647940093695,-0.292817686384023,0.353661714552927,0.000745843343180294,0.0232658595111465,"chr036838.1"
13,"LOC111963037",111963037,"NC_036838.1",23717535,23743415,"ALL","LB",-1.66941383431046,-0.880839666374429,0.788574167936034,0.000214912484835114,0.00983222668595841,"chr036838.1"
14,"LOC111963475",111963475,"NC_036838.1",24611557,24637010,"ALL","SB",0.135502130043745,-0.224570232466772,-0.360072362510518,0.00140714575040595,0.0354329472090174,"chr036838.1"
15,"LOC111963704",111963704,"NC_036838.1",26144802,26168490,"PL","PL",-0.589746269030294,-0.180910769918435,0.408835499111859,7.21532128897578e-07,0.00011192203452548,"chr036838.1"
17,"LOC111963721",111963721,"NC_036838.1",26169377,26207928,"PL","PL",-0.527192402940835,-0.137084257273766,0.390108145667069,0.000103168335451431,0.00574588303054182,"chr036838.1"
18,"LOC111963947",111963947,"NC_036838.1",27821998,27869196,"LB","LB",0.759337174407958,0.500430113819115,-0.258907060588843,2.01961941308476e-06,0.000265559890376145,"chr036838.1"
