"Residue","Morph_pvalue","Timepoint_pvalue","Sex_pvalue","MorphXTimepoint_pvalue","MorphXSex_pvalue","TimepointXSex_pvalue","chrom","start","temp","NW","NCBI","Morph_pvalue_corrected","Timepoint_pvalue_corrected","Sex_pvalue_corrected","MorphXTimepoint_pvalue_corrected","MorphXSex_pvalue_corrected","TimepointXSex_pvalue_corrected"
"chr036840.1_32247573",1.46249281058261e-11,0.00011809248384754,4.84790467859253e-10,0.00640807718685615,0.484673060720875,8.3980978741076e-09,"chr036840.1",32247573,36840.1,"NC_","NC_036840.1",2.10993837782753e-07,1,6.99407207980544e-06,1,1,0.00012115935802975
"chr036845.1_11933308",0.044069633769378,0.000264635128423411,2.91153865297897e-09,0.603702272737242,0.0112083623117488,2.42458631037486e-06,"chr036845.1",11933308,36845.1,"NC_","NC_036845.1",1,1,4.20047681465276e-05,1,1,0.0349795066997782
"chr036847.1_17337187",0.125446617790686,0.0921528813693808,0.0520581052100843,0.562455579019266,0.212216819408631,1.77446122622514e-06,"chr036847.1",17337187,36847.1,"NC_","NC_036847.1",1,1,1,1,1,0.0256001521107502
"chr036847.1_17337195",0.000166459118293089,2.00613109048254e-07,0.486004896117984,0.0155386100078353,0.0495965556744743,1.47136655250632e-09,"chr036847.1",17337195,36847.1,"NC_","NC_036847.1",1,0.00289424532423916,1,1,1,2.12274052530087e-05
"chr036849.1_13305594",0.0525853215900962,0.332509856340603,0.0274534149504798,0.0060458860197724,2.24752098719824e-06,4.51765364282469e-08,"chr036849.1",13305594,36849.1,"NC_","NC_036849.1",1,1,1,1,0.0324249852823091,0.000651761891050317
"chr036857.1_5972768",0.0380327441896176,0.0206147450972658,0.888868333495722,0.657449321019641,0.407799550443677,8.87714401045554e-07,"chr036857.1",5972768,36857.1,"NC_","NC_036857.1",1,1,1,1,1,0.0128070556638842
"chr036863.1_25899468",0.000628185982856418,1.37266392053554e-19,0.0173318245434876,1.46102742320031e-05,0.0734981180097633,2.38752486853514e-06,"chr036863.1",25899468,36863.1,"NC_","NC_036863.1",1,1.98034223815662e-15,1,0.210782426345109,1,0.0344448212783565
"chr036867.1_9317018",7.14014229831116e-08,9.33978057959797e-05,0.0059349639974692,0.0518153689272184,0.113064140866919,3.65666517497765e-08,"chr036867.1",9317018,36867.1,"NC_","NC_036867.1",0.00103010832937735,1,1,1,1,0.000527547084794026
"chr036871.1_1522694",0.47632661356604,0.0570321088568074,0.00833018775388159,0.843363537000926,0.900269276466312,5.19667373708344e-07,"chr036871.1",1522694,36871.1,"NC_","NC_036871.1",1,1,1,1,1,0.00749724120049028
"chr036875.1_6174845",0.236843305910779,8.05600756672303e-05,0.667503237116595,0.000731401529791451,0.00121778778931159,1.77282721439036e-09,"chr036875.1",6174845,36875.1,"NC_","NC_036875.1",1,1,1,1,1,2.55765782220097e-05
"chr036875.1_26638536",0.0344902195376159,0.0787585377967867,1.46555735668958e-06,0.744754633426251,3.35696845134945e-05,1.63942944985305e-06,"chr036875.1",26638536,36875.1,"NC_","NC_036875.1",1,1,0.0211435959849606,1,0.484309838476186,0.0236520486730299
