"","gene_name","gene_id","chromosome_RefSeq","start","stop","direction","direction_unique","log2FoldChange_LB_vs_PL","log2FoldChange_LB_vs_SB","log2FoldChange_PL_vs_SB","pvalue","padj"
"1","LOC111967189",111967189,"NC_036838.1",114389,143665,"ALL","LB",-1.09035098336282,-0.581913148729584,0.508437834633231,1.22752388805167e-07,2.52564630023481e-05
"2","LOC111972749",111972749,"NC_036838.1",3685034,3695435,"PL","PL",-0.621432787748121,0.000421640019981454,0.621854427768102,0.000777680750737718,0.023810102245023
"3","LOC111950145",111950145,"NC_036838.1",3861285,3873546,"SB","SB",-0.0214988891773139,-0.328370200321552,-0.306871311144238,0.000439259279262548,0.0165493225612104
"4","LOC111951338",111951338,"NC_036838.1",4616510,4655311,"SB","SB",-0.218730171374287,-0.623234293980231,-0.404504122605944,0.000810909113442321,0.024443437542276
"5","LOC111951338",111951338,"NC_036838.1",4651916,4655311,"SB","SB",-0.218730171374287,-0.623234293980231,-0.404504122605944,0.000810909113442321,0.024443437542276
"6","LOC111955633",111955633,"NC_036838.1",5488510,5492883,"PL","PL",-0.742813658952199,0.21594014240929,0.958753801361489,3.96041124355282e-05,0.00272561404647283
"7","LOC111960985",111960985,"NC_036838.1",11040392,11041594,"SB","SB",0.128361973137487,0.839409997814728,0.711048024677241,4.9236925470022e-05,0.00319476848106956
"8","LOC111961886",111961886,"NC_036838.1",17475222,17539871,"LB","LB",-0.455077763519654,-0.359980740405541,0.0950970231141129,1.77108583318712e-06,0.000238406164189358
"9","LOC111962014",111962014,"NC_036838.1",18265208,18276904,"LB","LB",-0.473385495192139,-0.568043852158452,-0.0946583569663125,0.0018703709969942,0.0430814572451507
"10","LOC111962144",111962144,"NC_036838.1",19390662,19422747,"LB","LB",-0.301781562406061,-0.441289271259509,-0.139507708853449,0.000340117732452815,0.0136957740408832
"11","LOC111962144",111962144,"NC_036838.1",19390662,19419926,"LB","LB",-0.301781562406061,-0.441289271259509,-0.139507708853449,0.000340117732452815,0.0136957740408832
"12","LOC111962764",111962764,"NC_036838.1",22981081,22996265,"ALL","PL",-0.64647940093695,-0.292817686384023,0.353661714552927,0.000745843343180294,0.0232658595111465
"13","LOC111963037",111963037,"NC_036838.1",23727535,23733415,"ALL","LB",-1.66941383431046,-0.880839666374429,0.788574167936034,0.000214912484835114,0.00983222668595841
"14","LOC111963475",111963475,"NC_036838.1",24621557,24627010,"ALL","SB",0.135502130043745,-0.224570232466772,-0.360072362510518,0.00140714575040595,0.0354329472090174
"15","LOC111963704",111963704,"NC_036838.1",26154802,26158490,"PL","PL",-0.589746269030294,-0.180910769918435,0.408835499111859,7.21532128897578e-07,0.00011192203452548
"16","LOC111963704",111963704,"NC_036838.1",26154802,26158479,"PL","PL",-0.589746269030294,-0.180910769918435,0.408835499111859,7.21532128897578e-07,0.00011192203452548
"17","LOC111963721",111963721,"NC_036838.1",26179377,26197928,"PL","PL",-0.527192402940835,-0.137084257273766,0.390108145667069,0.000103168335451431,0.00574588303054182
"18","LOC111963947",111963947,"NC_036838.1",27831998,27859196,"LB","LB",0.759337174407958,0.500430113819115,-0.258907060588843,2.01961941308476e-06,0.000265559890376145
"19","LOC111963947",111963947,"NC_036838.1",27831999,27858455,"LB","LB",0.759337174407958,0.500430113819115,-0.258907060588843,2.01961941308476e-06,0.000265559890376145
"20","LOC111963947",111963947,"NC_036838.1",27843135,27859196,"LB","LB",0.759337174407958,0.500430113819115,-0.258907060588843,2.01961941308476e-06,0.000265559890376145
"21","LOC111964131",111964131,"NC_036838.1",28147063,28154665,"LB","LB",-1.14522577263998,-0.766801850644697,0.378423921995283,0.00227916871407206,0.0492950923942273
"22","LOC111964178",111964178,"NC_036838.1",28186448,28200857,"ALL","LB",-0.419403869976554,-0.246874935120017,0.172528934856537,0.000754137737421835,0.0234325583356972
"23","LOC111964252",111964252,"NC_036838.1",28412820,28419900,"PL","PL",-0.53624314540237,0.329616074297323,0.865859219699692,0.000472738695734614,0.0173658220237017
"24","LOC111968225",111968225,"NC_036838.1",30547719,30551374,"PL","PL",-2.199311300797,-0.0567366472107885,2.14257465358621,6.50883071855487e-17,1.98819744487549e-13
"25","LOC111968225",111968225,"NC_036838.1",30547719,30550312,"PL","PL",-2.199311300797,-0.0567366472107885,2.14257465358621,6.50883071855487e-17,1.98819744487549e-13
"26","LOC111968225",111968225,"NC_036838.1",30547916,30550312,"PL","PL",-2.199311300797,-0.0567366472107885,2.14257465358621,6.50883071855487e-17,1.98819744487549e-13
"27","LOC111964864",111964864,"NC_036838.1",31033065,31038266,"LB","LB",0.251110378544245,0.184215891379961,-0.0668944871642847,0.00131808066748062,0.0338996005865643
"28","LOC111965023",111965023,"NC_036838.1",31169241,31186621,"PL","PL",1.02759372205232,0.0816941052068798,-0.945899616845436,8.7828864457075e-13,8.1108935060243e-10
"29","LOC111965023",111965023,"NC_036838.1",31169252,31186621,"PL","PL",1.02759372205232,0.0816941052068798,-0.945899616845436,8.7828864457075e-13,8.1108935060243e-10
"30","LOC111965023",111965023,"NC_036838.1",31177985,31186621,"PL","PL",1.02759372205232,0.0816941052068798,-0.945899616845436,8.7828864457075e-13,8.1108935060243e-10
"31","LOC111965023",111965023,"NC_036838.1",31178793,31186621,"PL","PL",1.02759372205232,0.0816941052068798,-0.945899616845436,8.7828864457075e-13,8.1108935060243e-10
"32","LOC111965130",111965130,"NC_036838.1",31311211,31345505,"PL","PL",1.52252326798162,0.495239811903903,-1.02728345607772,7.81562739659537e-13,7.38948961711434e-10
"33","LOC111965130",111965130,"NC_036838.1",31311211,31345341,"PL","PL",1.52252326798162,0.495239811903903,-1.02728345607772,7.81562739659537e-13,7.38948961711434e-10
"34","LOC111965130",111965130,"NC_036838.1",31311211,31345254,"PL","PL",1.52252326798162,0.495239811903903,-1.02728345607772,7.81562739659537e-13,7.38948961711434e-10
"35","LOC111965130",111965130,"NC_036838.1",31311211,31345254,"PL","PL",1.52252326798162,0.495239811903903,-1.02728345607772,7.81562739659537e-13,7.38948961711434e-10
