"Residue","Morph_pvalue","Timepoint_pvalue","Sex_pvalue","MorphXTimepoint_pvalue","MorphXSex_pvalue","TimepointXSex_pvalue","chrom","start","temp","NW","NCBI","Morph_pvalue_corrected","Timepoint_pvalue_corrected","Sex_pvalue_corrected","MorphXTimepoint_pvalue_corrected","MorphXSex_pvalue_corrected"
"chr036842.1_1043513",0.000122242579471789,7.52357650756965e-05,0.000404395391963421,4.24826810671651e-07,3.73889616812924e-12,0.000297956166155574,"chr036842.1",1043513,36842.1,"NC_","NC_036842.1",1,1,1,0.00612897639755991,5.39410550176005e-08
"chr036842.1_12102239",0.125862220601829,0.000566856240062795,0.68680910563549,0.860269408011971,2.85730259820754e-06,0.991992183991263,"chr036842.1",12102239,36842.1,"NC_","NC_036842.1",1,1,1,1,0.0412223045843402
"chr036842.1_19256771",0.948199820530649,0.000210424222507614,0.000400910139172607,0.3433886790514,2.13727243017545e-09,0.00575469090369385,"chr036842.1",19256771,36842.1,"NC_","NC_036842.1",1,1,1,1,3.08344293501412e-05
"chr036842.1_45957868",0.034985168218343,3.66182355309314e-06,0.259845965446228,0.00616909983907313,6.19846819475243e-07,0.27494113115587,"chr036842.1",45957868,36842.1,"NC_","NC_036842.1",1,0.0528291284004748,1,1,0.00894253006456934
"chr036842.1_63125779",0.000300292999160542,7.27335505186952e-07,0.00501608586762986,0.0396000496065383,2.46118007654511e-06,0.00132925461045093,"chr036842.1",63125779,36842.1,"NC_","NC_036842.1",1,0.0104932693333322,1,1,0.0355074449643163
"chr036842.1_70502016",0.0394328322400719,0.0240942348420583,0.00846123387224367,0.0173092014235143,5.98906986985613e-16,0.572009811503032,"chr036842.1",70502016,36842.1,"NC_","NC_036842.1",1,1,1,1,8.64043110124144e-12
"chr036842.1_77706097",1.64950489634592e-05,0.000612860540543058,0.593093537061202,0.694900888798377,2.47655612324454e-10,0.183510734180423,"chr036842.1",77706097,36842.1,"NC_","NC_036842.1",0.237974071395826,1,1,1,3.5729275190049e-06
"chr036849.1_13305594",0.0525853215900962,0.332509856340603,0.0274534149504798,0.0060458860197724,2.24752098719824e-06,4.51765364282469e-08,"chr036849.1",13305594,36849.1,"NC_","NC_036849.1",1,1,1,1,0.0324249852823091
"chr036849.1_16609738",1.43893027973334e-06,0.00130116297354058,0.323429434249782,0.0319314957412537,7.73356794062242e-07,0.0231634363562041,"chr036849.1",16609738,36849.1,"NC_","NC_036849.1",0.0207594471457129,1,1,1,0.011157218467936
"chr036851.1_1577188",0.0904694476811097,0.126053423971983,6.95732303513611e-10,0.27109554246491,2.08802508749189e-06,0.0109034920924969,"chr036851.1",1577188,36851.1,"NC_","NC_036851.1",1,1,1.00373299427909e-05,1,0.0301239379372455
"chr036851.1_2675557",0.000387960324372661,0.995214258638012,0.492241819109621,0.0112969664541148,6.10057854217206e-07,0.0900889660714399,"chr036851.1",2675557,36851.1,"NC_","NC_036851.1",1,1,1,1,0.00880130466279164
"chr036851.1_2675665",0.220520957207038,0.152901154909606,0.152790819609529,0.0416145141840027,1.00369138071953e-08,0.549709206097779,"chr036851.1",2675665,36851.1,"NC_","NC_036851.1",1,1,1,1,0.000144802555496406
"chr036851.1_44198765",4.61853376641402e-15,1.20615867387e-06,0.0109337265951877,5.18343220915461e-08,1.58308832434307e-11,0.0939509794997957,"chr036851.1",44198765,36851.1,"NC_","NC_036851.1",6.66315866480551e-11,0.0174012511879224,1,0.000747813764814735,2.28392152552975e-07
"chr036854.1_17101105",0.0105550126421139,3.26642843561875e-06,0.231059949009257,0.574248171991985,1.80127372932499e-06,0.335497071673607,"chr036854.1",17101105,36854.1,"NC_","NC_036854.1",1,0.0471247630406718,1,1,0.0259869760929716
"chr036854.1_27263575",0.108334633216819,0.608577885074481,1.72045115237913e-07,0.012136786253893,5.14532272254855e-08,0.00948138159895497,"chr036854.1",27263575,36854.1,"NC_","NC_036854.1",1,1,0.00248209487753737,1,0.000742315709182079
"chr036858.1_25995604",3.79187225533505e-10,4.94322244378459e-05,0.277663025354601,0.150901771972397,1.10635451898464e-08,0.933733049811082,"chr036858.1",25995604,36858.1,"NC_","NC_036858.1",5.47053410277187e-06,0.713158701964803,1,1,0.000159613766453914
"chr036858.1_34580423",4.99796203702219e-05,0.000741484792148445,0.223667241154009,0.49585081753088,4.56298844141226e-08,0.310851625243631,"chr036858.1",34580423,36858.1,"NC_","NC_036858.1",0.721055983081191,1,1,1,0.000658302342442546
"chr036858.1_39718112",0.538413364866566,9.96099536937544e-05,3.5673966127081e-06,0.175156399969443,1.24609008744618e-07,0.482407753918694,"chr036858.1",39718112,36858.1,"NC_","NC_036858.1",1,1,0.0514668309315397,1,0.0017977341691586
"chr036859.1_34108102",3.66829812195386e-08,1.99819238443926e-12,0.0177466911648902,0.133120669428817,9.03679515161458e-07,0.0391060573524012,"chr036859.1",34108102,36859.1,"NC_","NC_036859.1",0.000529225370054284,2.88279215303052e-08,1,1,0.0130373843652344
"chr036859.1_35573715",0.867338624971184,0.0561242913577919,0.18327674672634,0.0232956345567645,3.37755721951828e-06,0.059763917849646,"chr036859.1",35573715,36859.1,"NC_","NC_036859.1",1,1,1,1,0.0487280180059902
"chr036860.1_24921898",0.296087818570563,6.5139287073594e-09,0.748283593188026,0.338197669300345,2.22520729673586e-06,0.066613541060163,"chr036860.1",24921898,36860.1,"NC_","NC_036860.1",1,9.39764494610741e-05,1,1,0.0321030656700082
"chr036863.1_19639857",0.289180187430547,0.000647678860219762,0.326926143666948,0.647449319584986,2.49327647350842e-06,0.254845558535027,"chr036863.1",19639857,36863.1,"NC_","NC_036863.1",1,1,1,1,0.0359704996833059
"chr036865.1_14313627",0.00319358647603573,0.000910176709486651,0.494591265494042,0.000602936341927316,2.82194437432742e-09,0.339962543412599,"chr036865.1",14313627,36865.1,"NC_","NC_036865.1",1,1,1,1,4.07121914884217e-05
"chr036866.1_1544055",8.13673275648885e-10,0.000988679530150012,0.0229965223574268,4.47805078051717e-06,5.03291708631424e-13,1.0865334269863e-05,"chr036866.1",1544055,36866.1,"NC_","NC_036866.1",1.17388643477865e-05,1,1,0.0646048386105213,7.26098948042556e-09
"chr036867.1_10297236",0.0480663337598177,0.000824866473164964,1.48435900015452e-05,0.154486347467839,1.46263732433898e-06,0.20118916830153,"chr036867.1",10297236,36867.1,"NC_","NC_036867.1",1,1,0.214148472952293,1,0.0211014686782385
"chr036867.1_17635919",0.0207000233350937,0.0932673404640308,0.222780854535662,0.690463958064313,4.89507199192068e-07,0.979101792850438,"chr036867.1",17635919,36867.1,"NC_","NC_036867.1",1,1,1,1,0.00706212036274397
"chr036868.1_11397332",0.830887643933922,3.91902396932538e-09,0.988677411166305,0.0300577071562445,4.58163306559967e-10,0.844530244270523,"chr036868.1",11397332,36868.1,"NC_","NC_036868.1",1,5.65397588054572e-05,1,1,6.60992202374064e-06
"chr036875.1_14419125",0.116154271879867,0.00126927799644977,0.00112902155303156,0.00236036157340903,2.94099943740698e-07,0.427426742569867,"chr036875.1",14419125,36875.1,"NC_","NC_036875.1",1,1,1,1,0.00424297988834705
