"","geneID","transcript_id","chromosome_RefSeq","start","stop"
"1","111949327","XM_023966397.1","NC_036862.1",13338227,13341297
"2","111949328","XM_023966398.1","NC_036862.1",13334147,13337338
"3","111949328","XM_023966399.1","NC_036862.1",13334147,13337339
"4","111949329","XM_023966405.1","NC_036840.1",4967251,4970961
"5","111949330","XM_023966400.1","NC_036862.1",17293624,17336320
"6","111949330","XM_023966401.1","NC_036862.1",17293624,17336320
"7","111949330","XM_023966402.1","NC_036862.1",17293624,17336320
"8","111949330","XM_023966403.1","NC_036862.1",17293624,17336320
"9","111949330","XM_023966404.1","NC_036862.1",17293624,17336320
"10","111949330","XM_023966406.1","NC_036862.1",17293624,17336319
"11","111949331","XM_023966407.1","NC_036862.1",17261593,17265882
"12","111949331","XM_023966408.1","NC_036862.1",17261595,17266742
"13","111949332","XM_023966409.2","NC_036862.1",17275118,17275952
"14","111949337","XM_023966410.1","NC_036862.1",14488062,14539308
"15","111949337","XM_023966411.1","NC_036862.1",14460028,14539308
"16","111949337","XM_023966413.1","NC_036862.1",14489265,14539308
"17","111949337","XM_023966414.1","NC_036862.1",14488062,14539308
"18","111949337","XM_023966415.1","NC_036862.1",14488062,14539308
"19","111949337","XM_023966416.1","NC_036862.1",14488062,14539308
"20","111949337","XM_023966417.1","NC_036862.1",14488062,14539308
"21","111949337","XM_023966418.1","NC_036862.1",14488062,14539308
"22","111949337","XM_023966419.1","NC_036862.1",14488062,14539308
"23","111949337","XM_023966420.1","NC_036862.1",14488062,14539308
"24","111949337","XM_023966421.1","NC_036862.1",14488062,14539308
"25","111949337","XM_023966422.1","NC_036862.1",14488062,14539308
"26","111949337","XM_023966423.1","NC_036862.1",14488062,14539308
"27","111949337","XM_023966424.1","NC_036862.1",14488062,14539308
"28","111949337","XM_023966425.1","NC_036862.1",14488062,14539308
"29","111949337","XM_023966426.1","NC_036862.1",14488062,14539308
"30","111949338","XM_023966427.1","NC_036862.1",14258964,14285385
"31","111949338","XM_023966428.1","NC_036862.1",14258964,14285385
"32","111949339","XM_023966432.1","NC_036840.1",4990874,5008906
"33","111949340","XM_023966429.1","NC_036862.1",14467296,14478539
"34","111949340","XM_023966430.1","NC_036862.1",14467296,14478539
"35","111949341","XM_023966431.1","NC_036862.1",14201296,14242649
"36","111949341","XM_023966433.1","NC_036862.1",14201296,14242648
"37","111949341","XM_023966434.1","NC_036862.1",14201296,14236133
"38","111949342","XM_023966435.2","NC_036862.1",14417991,14460823
"39","111949343","XM_023966436.1","NC_036862.1",14163276,14166738
"40","111949343","XM_023966437.1","NC_036862.1",14163276,14166416
"41","111949343","XM_023966438.1","NC_036862.1",14163276,14166738
"42","111949344","XM_023966439.1","NC_036862.1",14145189,14160384
"43","111949345","XM_023966440.1","NC_036862.1",14306428,14309478
"44","111949346","XM_023966444.1","NC_036840.1",5069170,5075738
"45","111949347","XM_023966441.1","NC_036862.1",14341466,14349737
"46","111949348","XM_023966442.1","NC_036862.1",14399498,14413008
"47","111949349","XM_023966443.1","NC_036862.1",14246176,14248166
"48","111949349","XM_023966445.1","NC_036862.1",14246259,14248166
"49","111949350","XM_023966446.1","NC_036862.1",14167493,14191617
"50","111949351","XM_023966447.1","NC_036862.1",14351687,14353275
"51","111949352","XM_023966448.2","NC_036862.1",14363991,14398378
"52","111949355","XM_023966449.1","NC_036862.1",30526244,30544764
"53","111949356","XM_023966450.1","NC_036862.1",13843088,13872437
"54","111949356","XM_023966451.1","NC_036862.1",13843088,13857383
"55","111949357","XM_023966454.1","NC_036840.1",5078536,5082195
"56","111949358","XM_023966452.1","NC_036862.1",3786865,3846273
"57","111949359","XM_023966453.1","NC_036862.1",22600872,22609971
"58","111949360","XM_023966455.2","NC_036862.1",35332548,35352020
"59","111949360","XM_024134501.1","NC_036862.1",35333841,35352020
"60","111949361","XM_024147863.1","NC_036862.1",34039731,34337098
"61","111949364","XM_023966458.1","NC_036862.1",17601968,17606677
"62","111949365","XM_023966459.1","NC_036862.1",17606809,17615202
"63","111949366","XM_023966460.1","NC_036862.1",27378239,27402592
"64","111949366","XM_023966461.1","NC_036862.1",27378239,27402592
"65","111949366","XM_023966462.1","NC_036862.1",27378239,27402590
"66","111949366","XM_023966463.1","NC_036862.1",27378239,27402590
"67","111949366","XM_023966464.1","NC_036862.1",27379443,27402594
"68","111949366","XM_023966465.1","NC_036862.1",27379443,27402594
"69","111949367","XM_023966466.2","NC_036840.1",5082492,5087167
"70","111949368","XM_023966467.1","NC_036862.1",27403534,27440722
"71","111949368","XM_023966468.1","NC_036862.1",27403534,27440722
"72","111949368","XM_023966469.1","NC_036862.1",27403534,27440724
"73","111949372","XM_023966472.1","NC_036862.1",26885167,26887701
"74","111949374","XM_023966478.1","NC_036840.1",5122592,5130992
"75","111949375","XM_023966474.1","NC_036862.1",17338576,17340634
"76","111949376","XM_023966475.1","NC_036862.1",17340958,17346185
"77","111949376","XM_023966476.1","NC_036862.1",17340958,17346185
"78","111949376","XM_023966477.1","NC_036862.1",17340958,17346185
"79","111949376","XM_023966479.1","NC_036862.1",17340958,17346185
"80","111949377","XM_023966480.1","NC_036862.1",10425904,10431761
"81","111949377","XM_023966481.1","NC_036862.1",10425902,10431761
"82","111949378","XM_023966482.1","NC_036862.1",28864183,28906342
"83","111949379","XM_023966483.1","NC_036862.1",30446489,30505579
"84","111949379","XM_023966484.1","NC_036862.1",30446489,30505579
"85","111949379","XM_023966485.2","NC_036862.1",30446489,30474806
"86","111949379","XM_023966486.1","NC_036862.1",30446489,30468376
"87","111949380","XM_023966491.2","NC_036840.1",5134955,5138813
"88","111949381","XM_023966487.1","NC_036862.1",30438888,30445606
"89","111949382","XM_023966488.1","NC_036862.1",12615017,12617352
"90","111949383","XM_023966489.1","NC_036862.1",9412073,9476509
"91","111949383","XM_023966490.1","NC_036862.1",9412073,9476508
"92","111949383","XM_023966492.1","NC_036862.1",9412073,9477313
"93","111949383","XM_023966493.1","NC_036862.1",9412073,9477312
"94","111949384","XM_023966494.1","NC_036862.1",26336770,26422790
"95","111949384","XM_023966495.1","NC_036862.1",26336772,26422274
"96","111949385","XM_023966496.1","NC_036862.1",26686455,26690816
"97","111949386","XM_023966497.1","NC_036862.1",26666872,26678447
