NCBI	POS	ID	SB	LB	PL
NC_036838.1	180703	NC_036838.1_180703	0.121619	0.00314325	0.0475296
NC_036838.1	180819	NC_036838.1_180819	0.0917487	0	0.0531663
NC_036838.1	180892	NC_036838.1_180892	0.125413	0	0.0602677
NC_036838.1	314219	NC_036838.1_314219	0	0.200425	0.325952
NC_036838.1	314229	NC_036838.1_314229	0	0.209734	0.332305
NC_036838.1	314291	NC_036838.1_314291	0	0.209734	0.332305
NC_036838.1	514770	NC_036838.1_514770	0.0546803	0.00557139	0
NC_036838.1	1144013	NC_036838.1_1144013	0	0	0
NC_036838.1	1144080	NC_036838.1_1144080	0	0	0
NC_036838.1	1144087	NC_036838.1_1144087	0	0	0
NC_036838.1	1144205	NC_036838.1_1144205	0	0	0
NC_036838.1	1144208	NC_036838.1_1144208	0	0	0
NC_036838.1	1144209	NC_036838.1_1144209	0	0	0
NC_036838.1	1144216	NC_036838.1_1144216	0	0	0
NC_036838.1	1144219	NC_036838.1_1144219	0	0	0
NC_036838.1	1144223	NC_036838.1_1144223	0	0	0
NC_036838.1	1144224	NC_036838.1_1144224	0	0	0
NC_036838.1	1144225	NC_036838.1_1144225	0	0	0
NC_036838.1	1144234	NC_036838.1_1144234	0	0	0
NC_036838.1	1144241	NC_036838.1_1144241	0	0	0
NC_036838.1	1144246	NC_036838.1_1144246	0	0	0
NC_036838.1	1144251	NC_036838.1_1144251	0	0	0
NC_036838.1	1144254	NC_036838.1_1144254	0	0	0
NC_036838.1	1301170	NC_036838.1_1301170	0.0446203	0.0885881	0
NC_036838.1	1301369	NC_036838.1_1301369	0.0544224	0.083874	0
NC_036838.1	1301395	NC_036838.1_1301395	0.0544224	0.083874	0
NC_036838.1	1389371	NC_036838.1_1389371	0	0	0.0118053
NC_036838.1	1486294	NC_036838.1_1486294	0.0303609	0.086314	0.00726788
NC_036838.1	1527477	NC_036838.1_1527477	0.029451	0.0770176	0
NC_036838.1	3064733	NC_036838.1_3064733	0	0	0
NC_036838.1	4185453	NC_036838.1_4185453	0	0.0980001	0.170183
NC_036838.1	4185507	NC_036838.1_4185507	0	0.0810014	0.161529
NC_036838.1	4523128	NC_036838.1_4523128	0	0	0
NC_036838.1	4523145	NC_036838.1_4523145	0	0	0
NC_036838.1	4787653	NC_036838.1_4787653	0.32699	0.0532643	0.570278
NC_036838.1	4787660	NC_036838.1_4787660	0.334776	0.0538645	0.558624
NC_036838.1	4990458	NC_036838.1_4990458	0	0.00917965	0.00467494
NC_036838.1	5369878	NC_036838.1_5369878	0.269399	0	0.283493
NC_036838.1	5370079	NC_036838.1_5370079	0.264592	0	0.268212
NC_036838.1	6248124	NC_036838.1_6248124	0	0	0
NC_036838.1	6578679	NC_036838.1_6578679	0	0	0
NC_036838.1	6578689	NC_036838.1_6578689	0.0132793	0.0186867	0.121251
NC_036838.1	6578690	NC_036838.1_6578690	0.0114904	0.0122525	0.109589
NC_036838.1	6578844	NC_036838.1_6578844	0.0187908	0.00373284	0.107597
NC_036838.1	6842057	NC_036838.1_6842057	0.0416561	0.00995125	0
NC_036838.1	6942448	NC_036838.1_6942448	0.0605878	0.131231	0.00448978
NC_036838.1	7400141	NC_036838.1_7400141	0	0.0276343	0.0141392
NC_036838.1	9008201	NC_036838.1_9008201	0	0.0153826	0.0106097
NC_036838.1	9607870	NC_036838.1_9607870	0	0.00119619	0
NC_036838.1	9662618	NC_036838.1_9662618	0.0882465	0.0153003	0.0112428
NC_036838.1	9831359	NC_036838.1_9831359	0	0	0
NC_036838.1	9967585	NC_036838.1_9967585	0	0.00498113	0.0344848
NC_036838.1	9967598	NC_036838.1_9967598	0	0.00498113	0.0344848
NC_036838.1	10091162	NC_036838.1_10091162	0.0745169	0.00664246	0.187106
NC_036838.1	10332152	NC_036838.1_10332152	0	0.0136307	0
NC_036838.1	10542426	NC_036838.1_10542426	0	0	0
NC_036838.1	10542533	NC_036838.1_10542533	0.00368913	0.00143695	0
NC_036838.1	11124623	NC_036838.1_11124623	0	0	0
NC_036838.1	11124625	NC_036838.1_11124625	0	0.00309783	0
NC_036838.1	11124629	NC_036838.1_11124629	0	0.0285145	0.0497044
NC_036838.1	11857200	NC_036838.1_11857200	0	0.0176971	0
NC_036838.1	12136642	NC_036838.1_12136642	0	0.0147994	0
NC_036838.1	12207228	NC_036838.1_12207228	0	0.00679432	0
NC_036838.1	12617993	NC_036838.1_12617993	0.0151366	0	0
NC_036838.1	13232264	NC_036838.1_13232264	0.0268282	0	0.0351512
NC_036838.1	13232265	NC_036838.1_13232265	0	0	0
NC_036838.1	13232266	NC_036838.1_13232266	0	0.00313457	0.0107523
NC_036838.1	13283443	NC_036838.1_13283443	0	0	0
NC_036838.1	13302416	NC_036838.1_13302416	0	0	9.37203e-05
NC_036838.1	13302492	NC_036838.1_13302492	0	0	0
NC_036838.1	13302493	NC_036838.1_13302493	0	0	0
NC_036838.1	13302498	NC_036838.1_13302498	0	0	0
NC_036838.1	13302500	NC_036838.1_13302500	0	0	0
NC_036838.1	13302501	NC_036838.1_13302501	0	0	0
NC_036838.1	13302504	NC_036838.1_13302504	0.00595793	0	0.0116893
NC_036838.1	13302505	NC_036838.1_13302505	0	0	0
NC_036838.1	13302507	NC_036838.1_13302507	0	0	0
NC_036838.1	13302510	NC_036838.1_13302510	0	0	0
NC_036838.1	13712800	NC_036838.1_13712800	0.246778	0.0343201	0.0453076
NC_036838.1	13760248	NC_036838.1_13760248	0.202309	0.0389066	0.040321
NC_036838.1	14103452	NC_036838.1_14103452	0	0.001354	0
NC_036838.1	14187248	NC_036838.1_14187248	0.0312977	0	0.0312977
NC_036838.1	14973298	NC_036838.1_14973298	0.0866233	0.0124661	0.00517662
NC_036838.1	15434847	NC_036838.1_15434847	0	0.040068	0.000525687
NC_036838.1	15586648	NC_036838.1_15586648	0.0178792	0	0.0125612
NC_036838.1	15831311	NC_036838.1_15831311	0	0	0
NC_036838.1	15849269	NC_036838.1_15849269	0	0	0
NC_036838.1	15898710	NC_036838.1_15898710	0.0348202	0	0.103764
NC_036838.1	15898711	NC_036838.1_15898711	0.0633474	0	0.0935635
NC_036838.1	15898727	NC_036838.1_15898727	0	0.00313395	0.00702278
NC_036838.1	15898739	NC_036838.1_15898739	0	0.00358551	0.00750326
NC_036838.1	15972426	NC_036838.1_15972426	0.000515015	0	0.0330374
NC_036838.1	15997612	NC_036838.1_15997612	0	0.00240036	0.0145359
NC_036838.1	15997704	NC_036838.1_15997704	0.0179179	0	0.0506071
NC_036838.1	15997705	NC_036838.1_15997705	0.0179179	0	0.0506071
NC_036838.1	16009754	NC_036838.1_16009754	0.0228036	0	0.0293079
NC_036838.1	16009761	NC_036838.1_16009761	0.0134223	0	0.0288177
