"Residue","Morph_pvalue","Timepoint_pvalue","Sex_pvalue","MorphXTimepoint_pvalue","MorphXSex_pvalue","TimepointXSex_pvalue","chrom","start","temp","NW","NCBI","Morph_pvalue_corrected","Timepoint_pvalue_corrected","Sex_pvalue_corrected","MorphXTimepoint_pvalue_corrected","MorphXSex_pvalue_corrected","TimepointXSex_pvalue_corrected"
"chr036838.1_10287681",0.034129015365771,1.12948154608237e-16,0.106299270436391,0.0220705155297777,0.00378087304981358,0.0374533424673862,"chr036838.1",10287681,36838.1,"NC_","NC_036838.1",1,1.62950302653304e-12,1,1,1,1
"chr036838.1_13656113",0.113076382089842,1.48939531119446e-09,3.11259427377454e-06,0.301229498920654,0.0507354990722478,0.130626105616188,"chr036838.1",13656113,36838.1,"NC_","NC_036838.1",1,2.14875061546025e-05,0.0449053975877453,1,1,1
"chr036838.1_15968726",0.000171337467445725,3.52974540703366e-12,0.664336926269014,0.221813769073963,0.604778542441773,0.182525368383498,"chr036838.1",15968726,36838.1,"NC_","NC_036838.1",1,5.09236369872746e-08,1,1,1,1
"chr036838.1_19998757",0.153363571202233,1.8580818387938e-06,0.635334062992644,0.754701715184293,0.185300288117166,0.707795725649516,"chr036838.1",19998757,36838.1,"NC_","NC_036838.1",1,0.0268065466882782,1,1,1,1
"chr036838.1_19998760",0.00280468423535796,3.32237506947333e-09,0.275640968303858,0.543448594193217,0.167002960149274,0.839724900461718,"chr036838.1",19998760,36838.1,"NC_","NC_036838.1",1,4.79319051272918e-05,1,1,1,1
"chr036838.1_19998786",3.40405629895245e-10,5.54786563091454e-18,0.5619865394951,0.106920471535955,5.12612875547361e-05,0.458250293145329,"chr036838.1",19998786,36838.1,"NC_","NC_036838.1",4.9110320224987e-06,8.00390574572041e-14,1,1,0.739546595552178,1
"chr036838.1_19998855",2.14658329965726e-06,9.53835696693996e-13,0.706084143804998,0.370901280982697,0.71698292383946,0.18248591889779,"chr036838.1",19998855,36838.1,"NC_","NC_036838.1",0.0309687572641553,1.37609875962043e-08,1,1,1,1
"chr036838.1_20191387",0.010687420226741,2.9577823573271e-07,0.449220939968022,0.00555040751709394,0.996053638098167,0.717571144688888,"chr036838.1",20191387,36838.1,"NC_","NC_036838.1",1,0.0042671926069158,1,1,1,1
"chr036838.1_20191505",0.344463407041592,1.87322078476522e-08,0.00105094373606665,0.0217043396320079,0.236705413802836,0.000634944193806726,"chr036838.1",20191505,36838.1,"NC_","NC_036838.1",1,0.000270249562618079,1,1,1,1
"chr036838.1_35670923",0.897472928596422,1.24234471147963e-06,0.458933632117567,0.494295970134192,0.714176954100491,0.775607476529757,"chr036838.1",35670923,36838.1,"NC_","NC_036838.1",1,0.0179233071525166,1,1,1,1
"chr036838.1_48808279",1.1997148569877e-10,1.99096471794367e-17,0.783184568265398,0.0588485069226764,0.0314761891902195,0.00243140197246078,"chr036838.1",48808279,36838.1,"NC_","NC_036838.1",1.73082862417616e-06,2.87236479857733e-13,1,1,1,1
"chr036838.1_48808309",0.000624455058067028,3.65654898109497e-14,0.00255804021718079,0.811415726947656,0.248497029022122,0.358725988588755,"chr036838.1",48808309,36838.1,"NC_","NC_036838.1",1,5.27530321502571e-10,1,1,1,1
"chr036838.1_48808358",9.23757824808429e-05,1.41261239009689e-07,0.0290679925740457,0.937794648734973,0.209117298829387,0.875037330092505,"chr036838.1",48808358,36838.1,"NC_","NC_036838.1",1,0.00203797589519279,1,1,1,1
"chr036838.1_48808374",1.52271727244827e-08,3.40794639868732e-09,0.544043599999182,0.554440117578986,0.00243068674112396,0.00206513358549288,"chr036838.1",48808374,36838.1,"NC_","NC_036838.1",0.000219682420896111,4.9166442693862e-05,1,1,1,1
"chr036839.1_254779",0.0135293971801254,3.39612670191387e-07,0.0220526963655706,0.1369881328116,0.149075406507622,0.165502411823574,"chr036839.1",254779,36839.1,"NC_","NC_036839.1",1,0.00489959199285114,1,1,1,1
"chr036839.1_3598354",0.0902688122585006,3.70794854914439e-08,0.136951252354102,0.000428321986624207,0.0420026731080642,0.0503322600675531,"chr036839.1",3598354,36839.1,"NC_","NC_036839.1",1,0.000534945737185061,1,1,1,1
"chr036839.1_9822082",0.0193147321613344,1.29818157445436e-06,0.856885570057183,0.861033583726415,0.28747533993132,0.0719999129461722,"chr036839.1",9822082,36839.1,"NC_","NC_036839.1",1,0.0187288655746531,1,1,1,1
"chr036839.1_10168356",0.00016626918839376,2.16639468194646e-09,0.788718564663037,0.175123402700198,0.104645796037116,0.683203808156065,"chr036839.1",10168356,36839.1,"NC_","NC_036839.1",1,3.12545760764415e-05,1,1,1,1
"chr036839.1_10974952",0.138761708161685,5.21788357791445e-12,0.935293821680498,0.0179169004368011,0.945316588413568,0.324397291258186,"chr036839.1",10974952,36839.1,"NC_","NC_036839.1",1,7.52784063785718e-08,1,1,1,1
"chr036839.1_28954281",5.03266820623943e-05,1.88108248152463e-07,0.351267478794151,0.276151620925714,0.21589943138599,0.0900023134722644,"chr036839.1",28954281,36839.1,"NC_","NC_036839.1",0.726063042114163,0.00271383769609559,1,1,1,1
"chr036839.1_32818854",0.0512462665140801,2.33247870639967e-06,0.658513046279139,0.082941398747352,0.928012006712244,0.160213775196548,"chr036839.1",32818854,36839.1,"NC_","NC_036839.1",1,0.033650670297228,1,1,1,1
"chr036839.1_32818859",0.108498985435837,9.10250603686701e-09,0.306233216021382,0.0378173882825924,0.997526160000805,0.936731226931345,"chr036839.1",32818859,36839.1,"NC_","NC_036839.1",1,0.00013132185459388,1,1,1,1
"chr036839.1_32818898",0.436001346916632,1.99934207571209e-08,0.630084289046132,0.00911663841070592,0.638546100959762,0.452005941402119,"chr036839.1",32818898,36839.1,"NC_","NC_036839.1",1,0.000288445081262983,1,1,1,1
"chr036839.1_32818903",0.443968565871231,1.93141040977346e-06,0.73103665404629,0.15216838143226,0.962283054116709,0.557453930843507,"chr036839.1",32818903,36839.1,"NC_","NC_036839.1",1,0.0278644579818017,1,1,1,1
