"CHROM","POS","fst_LB","fst_SB","fst_PL","highest"
"NC_036838.1",50000,0,0,0.0147737,0.0147737
"NC_036838.1",60000,0,0.00258486,0.00847013,0.00847013
"NC_036838.1",70000,0.000680965,0.00113379,0.00753853,0.00753853
"NC_036838.1",80000,0,0.000765723,0.00428296,0.00428296
"NC_036838.1",90000,0,0,0,0
"NC_036838.1",1e+05,0.00408638,0,0,0.00408638
"NC_036838.1",110000,0.00247848,0,0,0.00247848
"NC_036838.1",120000,0.00293425,0,0,0.00293425
"NC_036838.1",130000,0,0,0,0
"NC_036838.1",140000,0,0,0,0
"NC_036838.1",150000,0,0,0,0
"NC_036838.1",160000,0,0,0,0
"NC_036838.1",170000,0,0,0,0
"NC_036838.1",180000,0.00183465,0,0,0.00183465
"NC_036838.1",190000,0.000605245,0,0,0.000605245
"NC_036838.1",2e+05,0,0,0.0126237,0.0126237
"NC_036838.1",210000,0,0,0.0113602,0.0113602
"NC_036838.1",220000,0,0,0.00963815,0.00963815
"NC_036838.1",230000,0,0.000350104,0.0149192,0.0149192
"NC_036838.1",240000,0.00395637,0.000868504,0.00812291,0.00812291
"NC_036838.1",250000,0.00371632,0,0.00760511,0.00760511
"NC_036838.1",260000,0.0143873,0,0.000831976,0.0143873
"NC_036838.1",270000,0.0128754,0,0.00592074,0.0128754
"NC_036838.1",280000,0.0134066,0,0.0086654,0.0134066
"NC_036838.1",290000,0.0137936,0,0.00926417,0.0137936
"NC_036838.1",3e+05,0.0104627,0,0.00501649,0.0104627
"NC_036838.1",310000,0.0109548,0,0.0196293,0.0196293
"NC_036838.1",320000,0.0120268,0,0.0232923,0.0232923
"NC_036838.1",330000,0.0127564,0,0.0758699,0.0758699
"NC_036838.1",340000,0.0174272,0,0.0946529,0.0946529
"NC_036838.1",350000,0.0179232,0,0.101938,0.101938
"NC_036838.1",360000,0.0120649,0,0.12184,0.12184
"NC_036838.1",370000,0.0101569,0,0.138186,0.138186
"NC_036838.1",380000,0.00862001,0,0.136704,0.136704
"NC_036838.1",390000,0.00713659,0,0.127351,0.127351
"NC_036838.1",4e+05,0.00897666,0,0.154653,0.154653
"NC_036838.1",410000,0.0079534,0,0.183447,0.183447
"NC_036838.1",420000,0.00611323,0,0.1715,0.1715
"NC_036838.1",430000,0.000482711,0,0.0601255,0.0601255
"NC_036838.1",440000,0,0.00781536,0,0.00781536
"NC_036838.1",450000,0,0.00118768,0,0.00118768
"NC_036838.1",460000,0,0.00248881,0,0.00248881
"NC_036838.1",470000,0,0.00356487,0,0.00356487
"NC_036838.1",480000,0,0.00351472,0,0.00351472
"NC_036838.1",490000,0,0.00927796,0,0.00927796
"NC_036838.1",5e+05,0,0.0128087,0,0.0128087
"NC_036838.1",510000,0,0.0114658,0,0.0114658
"NC_036838.1",520000,0,0.00966498,0,0.00966498
"NC_036838.1",530000,0,0.00478368,0,0.00478368
"NC_036838.1",540000,0,0.00214816,0,0.00214816
"NC_036838.1",550000,0,0.00890746,0,0.00890746
"NC_036838.1",560000,0,0.0220878,0,0.0220878
"NC_036838.1",570000,0,0.0185436,0,0.0185436
"NC_036838.1",580000,0,0.0192923,0,0.0192923
"NC_036838.1",590000,0,0.0184568,0,0.0184568
"NC_036838.1",6e+05,0,0.0184466,0,0.0184466
"NC_036838.1",610000,0,0.0183926,0,0.0183926
"NC_036838.1",620000,0,0.0226842,0,0.0226842
"NC_036838.1",630000,0,0.0233139,0,0.0233139
"NC_036838.1",640000,0.00430868,0.0311924,0,0.0311924
"NC_036838.1",650000,0.00725699,0.0348629,0,0.0348629
"NC_036838.1",660000,0.00441489,0.0240992,0,0.0240992
"NC_036838.1",670000,0.00423015,0.0293039,0,0.0293039
"NC_036838.1",680000,0.000895577,0.0269452,0,0.0269452
"NC_036838.1",690000,0.00105753,0.0272588,0,0.0272588
"NC_036838.1",7e+05,0.00188552,0.027239,0,0.027239
"NC_036838.1",710000,0.00291074,0.0341028,0,0.0341028
"NC_036838.1",720000,0.00492269,0.0350496,0,0.0350496
"NC_036838.1",730000,0.00585269,0.039433,0,0.039433
"NC_036838.1",740000,0,0.0423862,0.0165515,0.0423862
"NC_036838.1",750000,0,0.0445185,0.0238357,0.0445185
"NC_036838.1",760000,0,0.0399572,0.0261729,0.0399572
"NC_036838.1",770000,0,0.0452869,0.0363961,0.0452869
"NC_036838.1",780000,0,0.0743317,0.0284477,0.0743317
"NC_036838.1",790000,0,0.0641581,0.0165688,0.0641581
"NC_036838.1",8e+05,0,0.0644163,0.016764,0.0644163
"NC_036838.1",810000,0,0.0608843,0.0151152,0.0608843
"NC_036838.1",820000,0,0.0639998,0.0116515,0.0639998
"NC_036838.1",830000,0,0.0492383,0.000934298,0.0492383
"NC_036838.1",840000,0,0.0350725,0,0.0350725
"NC_036838.1",850000,0,0.0298709,0,0.0298709
"NC_036838.1",860000,0,0.0415833,0,0.0415833
"NC_036838.1",870000,0,0.04941,0,0.04941
"NC_036838.1",880000,0,0.0225946,0,0.0225946
"NC_036838.1",890000,0,0.0301898,0,0.0301898
"NC_036838.1",9e+05,0,0.0301898,0,0.0301898
"NC_036838.1",910000,0,0.0297692,0,0.0297692
"NC_036838.1",920000,0,0.0390168,0,0.0390168
"NC_036838.1",930000,0,0.0561345,0.00503051,0.0561345
"NC_036838.1",940000,0,0.0314713,0,0.0314713
"NC_036838.1",950000,0,0.0363188,0,0.0363188
"NC_036838.1",960000,0,0.0182531,0,0.0182531
"NC_036838.1",970000,0,0,0,0
"NC_036838.1",980000,0,0.00414848,0,0.00414848
"NC_036838.1",990000,0,0.0128523,0,0.0128523
"NC_036838.1",1e+06,0,0.0222941,0,0.0222941
"NC_036838.1",1010000,0,0.0232855,0,0.0232855
"NC_036838.1",1020000,0,0,0,0
"NC_036838.1",1030000,0,0,0,0
"NC_036838.1",1040000,0,0.0239637,0.0202425,0.0239637
"NC_036838.1",1050000,0,0.0261748,0.0509005,0.0509005
"NC_036838.1",1060000,0,0,0,0
"NC_036838.1",1070000,0,0,0,0
"NC_036838.1",1080000,0,0,0,0
"NC_036838.1",1090000,0,0,0,0
"NC_036838.1",1100000,0,0,0,0
"NC_036838.1",1110000,0,0,0,0
"NC_036838.1",1120000,0,0,0,0
"NC_036838.1",1130000,0,0,0,0
"NC_036838.1",1140000,0,0,0,0
"NC_036838.1",1150000,0,0,0,0
"NC_036838.1",1160000,0,0.00153932,0.00133679,0.00153932
"NC_036838.1",1170000,0,0.00543246,0.00385112,0.00543246
"NC_036838.1",1180000,0,0.00914213,0.00838841,0.00914213
"NC_036838.1",1190000,0,0.0125981,0.00278638,0.0125981
"NC_036838.1",1200000,0.00965086,0.00932876,0,0.00965086
"NC_036838.1",1210000,0.0136758,0.00435566,0,0.0136758
"NC_036838.1",1220000,0.00451443,0.00342848,0,0.00451443
"NC_036838.1",1230000,0.000836945,0.0176616,0,0.0176616
"NC_036838.1",1240000,0,0.0189592,0,0.0189592
"NC_036838.1",1250000,0,0.0192022,0,0.0192022
"NC_036838.1",1260000,0,0.0195468,0,0.0195468
"NC_036838.1",1270000,0,0.0200046,0,0.0200046
"NC_036838.1",1280000,0,0.0223261,0,0.0223261
"NC_036838.1",1290000,0,0.0230162,0,0.0230162
"NC_036838.1",1300000,0,0.025959,0,0.025959
"NC_036838.1",1310000,0,0.0227186,0,0.0227186
"NC_036838.1",1320000,0,0.0296567,0,0.0296567
"NC_036838.1",1330000,0,0.0291773,0,0.0291773
"NC_036838.1",1340000,0,0.0441343,0,0.0441343
"NC_036838.1",1350000,0,0.0448162,0,0.0448162
"NC_036838.1",1360000,0,0.0456587,0,0.0456587
"NC_036838.1",1370000,0,0.0452257,0,0.0452257
"NC_036838.1",1380000,0,0.0429566,0,0.0429566
"NC_036838.1",1390000,0,0.0544604,0,0.0544604
"NC_036838.1",1400000,0,0.0519173,0,0.0519173
"NC_036838.1",1410000,0,0.0446927,0,0.0446927
"NC_036838.1",1420000,0,0.0371463,0,0.0371463
"NC_036838.1",1430000,0,0.0321698,0,0.0321698
"NC_036838.1",1440000,0,0.0157858,0,0.0157858
"NC_036838.1",1450000,0,0.0157674,0,0.0157674
"NC_036838.1",1460000,0,0.0159735,0,0.0159735
"NC_036838.1",1470000,0,0.0162289,0,0.0162289
"NC_036838.1",1480000,0,0.0158733,0,0.0158733
"NC_036838.1",1490000,0.000103728,0.00642891,0,0.00642891
"NC_036838.1",1500000,0.000679595,0.00559379,0,0.00559379
"NC_036838.1",1510000,0,0.00777692,0,0.00777692
"NC_036838.1",1520000,0,0.0125194,0,0.0125194
"NC_036838.1",1530000,0,0.00895819,0,0.00895819
