"","NCBI_MET","POS_MET","NCBI","POS","MIN","MAX","SB","LB","PL","distance"
"1","NC_036838.1",35298541,"NC_036838.1",35302333,35272333,35332333,0.443367,0.0337784,0.22647,-3792
"2","NC_036839.1",27110704,"NC_036839.1",27115171,27085171,27145171,0.231197,0.254577,0.735667,-4467
"3","NC_036839.1",27110732,"NC_036839.1",27115171,27085171,27145171,0.231197,0.254577,0.735667,-4439
"4","NC_036839.1",27110752,"NC_036839.1",27115171,27085171,27145171,0.231197,0.254577,0.735667,-4419
"5","NC_036839.1",27110843,"NC_036839.1",27115171,27085171,27145171,0.231197,0.254577,0.735667,-4328
"6","NC_036842.1",62932148,"NC_036842.1",62923987,62893987,62953987,0.132687,0.114797,0.431196,8161
"7","NC_036842.1",62932148,"NC_036842.1",62961571,62931571,62991571,0.173837,0.224667,0.644393,-29423
"8","NC_036842.1",62932283,"NC_036842.1",62923987,62893987,62953987,0.132687,0.114797,0.431196,8296
"9","NC_036842.1",62932283,"NC_036842.1",62961571,62931571,62991571,0.173837,0.224667,0.644393,-29288
"10","NC_036842.1",62932301,"NC_036842.1",62923987,62893987,62953987,0.132687,0.114797,0.431196,8314
"11","NC_036842.1",62932301,"NC_036842.1",62961571,62931571,62991571,0.173837,0.224667,0.644393,-29270
"12","NC_036844.1",16136638,"NC_036844.1",16135669,16105669,16165669,0.14053,0.28371,0.670533,969
"13","NC_036847.1",22524362,"NC_036847.1",22517631,22487631,22547631,0.307559,0,0.32502,6731
"14","NC_036853.1",50965072,"NC_036853.1",50965339,50935339,50995339,0.022125,0.0517633,0.219662,-267
"15","NC_036853.1",50965072,"NC_036853.1",50965341,50935341,50995341,0.255539,0.210009,0,-269
"16","NC_036853.1",50965099,"NC_036853.1",50965339,50935339,50995339,0.022125,0.0517633,0.219662,-240
"17","NC_036853.1",50965099,"NC_036853.1",50965341,50935341,50995341,0.255539,0.210009,0,-242
"18","NC_036853.1",50965107,"NC_036853.1",50965339,50935339,50995339,0.022125,0.0517633,0.219662,-232
"19","NC_036853.1",50965107,"NC_036853.1",50965341,50935341,50995341,0.255539,0.210009,0,-234
"20","NC_036853.1",50965108,"NC_036853.1",50965339,50935339,50995339,0.022125,0.0517633,0.219662,-231
"21","NC_036853.1",50965108,"NC_036853.1",50965341,50935341,50995341,0.255539,0.210009,0,-233
"22","NC_036853.1",50965122,"NC_036853.1",50965339,50935339,50995339,0.022125,0.0517633,0.219662,-217
"23","NC_036853.1",50965122,"NC_036853.1",50965341,50935341,50995341,0.255539,0.210009,0,-219
"24","NC_036853.1",50965139,"NC_036853.1",50965339,50935339,50995339,0.022125,0.0517633,0.219662,-200
"25","NC_036853.1",50965139,"NC_036853.1",50965341,50935341,50995341,0.255539,0.210009,0,-202
"26","NC_036863.1",23356444,"NC_036863.1",23360996,23330996,23390996,0.0379917,0.232925,0.488213,-4552
"27","NC_036863.1",23356444,"NC_036863.1",23361084,23331084,23391084,0.2009,0.213392,0.629311,-4640
"28","NC_036863.1",25899357,"NC_036863.1",25916539,25886539,25946539,0.241093,0,0.241093,-17182
"29","NC_036863.1",25899357,"NC_036863.1",25916540,25886540,25946540,0.233199,0,0.233199,-17183
